1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,HS6,HS6 ID
-1.709886133,-2.09839234,-2.068208958,-1.901729464,-1.661463447,-1.831620102,-1.956572755,-2.126517145,-2.292033948,-2.080232275,-2.12086428,-1.980574617,-2.259919507,-2.360294504,-2.507324941,-2.278927067,-2.207105011,-2.23198587,-2.029637949,-1.936613545,-1.988392489,-1.785061902,-2.10239265,-2.267329986,-2.186361171,-2.33037858,-2.220880813,"Tunas nes, frozen, whole",30349
,,,,,,,,,,0.807163244,0.463898019,0.487335498,-0.204467152,-0.461622514,0.664453415,0.166883574,0.498661785,0.046377234,0.060903554,-0.011953786,0.505124171,0.181391175,-0.112021927,-0.258620963,-0.641402024,-0.45676705,"Herrings, frozen, whole",30350
,,,,,,,,,0.15505977,0.0188954,-0.083151409,-0.369408163,-0.154021765,0.238012675,0.385586549,0.591760783,0.660603724,0.691653981,0.658006129,0.129898307,0.06073347,-0.045234986,0.320165436,0.70426145,0.717759141,0.689631091,"Cod, frozen, whole",30360
,,,,,,,,,,,,,,,-1.445470078,-1.45988171,-1.20083282,-1.260963784,-1.144220916,-1.113268921,-1.377832183,-1.539203534,-1.758115085,-1.531607154,-2.004004782,-1.754849777,"Sardines,brisling,sprats, frozen, whole",30371
0.069174702,-0.346150985,-0.790110162,-0.905786664,-0.658103279,-0.822420904,-1.092924655,-1.425992526,-1.276458713,-1.397323885,-1.443470494,-1.243284689,-1.447474911,-1.604805475,-1.472049363,-1.238631713,-1.255300564,-1.368501537,-1.246098782,-1.108974427,-1.000175985,-1.197951455,-1.119385318,-1.181837401,-1.138314297,-1.187719641,-1.36439423,"Mackerel, frozen, whole",30374
,,,,,,,,,,,,-1.091874539,-1.27511967,-1.341330997,-1.116376202,-1.301382517,-1.20823123,-1.177338595,-1.102540419,,,,-1.493517593,-1.470820382,-1.367520974,-1.403771313,"Hake, frozen, whole",30378
-1.590036783,-1.526320351,-1.544447669,-1.553880967,-1.740580925,-1.992035017,-2.021496176,-1.866553843,-1.923938598,-1.696720822,-1.613667775,-1.613154806,-1.946521737,-1.988416995,-1.859605691,-1.944180747,-1.851039693,-1.780551517,-1.667228046,-1.56521287,-1.689317975,-1.919841025,-1.985481393,-1.984967369,-2.038328466,-1.908754754,-1.718067474,"Fish nes, frozen, whole",30379
0.265646809,-0.356566634,-0.362588871,,,,-0.138319138,-0.310570036,-0.348642033,-0.483581799,-0.375989613,-0.459899968,-1.123875069,-1.210115086,-1.022040998,-1.198972448,-1.152341895,-0.856758804,-0.840831001,-0.761331838,-0.556384193,-0.469054943,-0.439962914,-0.535689687,-0.754880067,-1.051395418,-1.431792711,"Fish livers and roes, frozen",30380
-0.766129586,-0.899850674,-0.886031111,-0.987651003,-0.873808731,-0.804939386,-0.885213503,-1.109275814,-1.205474187,-1.354616618,-1.37857002,-1.484833373,-1.575947273,-1.605323895,-1.482989197,-1.312299085,-1.092284095,-1.075204831,-1.11520799,-1.213509085,-1.172281302,-1.272802024,-1.247803785,-1.25757312,-1.181197041,-1.209676318,-1.242796592,"Fish fillet or meat, fresh or chilled, not liver, roe",30410
-1.221101023,-1.241643603,-1.202639055,-1.122702882,-1.234669332,-1.161498461,-1.208456347,-1.355250786,-1.571783529,-1.6174003,-1.759623288,-1.717964053,-1.835276465,-1.893528789,-1.966379119,-1.783429294,-1.599980049,-1.410936821,-1.358236111,-1.301075816,-1.374033775,-1.462801025,-1.495897997,-1.501512876,-1.331782639,-1.413322446,-1.249385416,"Fish fillets, frozen",30420
